IGSN;Parent_IGSN;Sample_name;Sample_name_old;Waypoint;Waypoint_old;Geoloc_name;Material;Nature;Class;Class_decontamination;Year_of_remediation;X_WGS84;Y_WGS84;Z_elevation_m;Country;Region;State.Province.Prefecture;City.Township;Catchment;Catchment_old;River;Lithology;Lithology_simp;Pedology_SoilGroup_code;Pedology_SG_CSCS_2011;Pedology_SG_WRG_2006;Dose_sed_µSv.h;Dose_soil_µSv.h;Dose_ratio_SedSoil;EDRXF_Al_mg.kg.1;EDXRF_Ca_mg.kg.1;EDXRF_Si_mg.kg.1;Campaign;Field_program;Collection_method;Sampling_depth_cm;Layer_thickness_cm;Depth_min_cm;Depth_max_cm;Sampling_date;Sampling_time;Collector;Collector_ORCID;Collector_address;Current_archive;Current_archive_quantity_g;Current_archive_quantity_last_update;Note
10.58052/IETGC00WW;10.58052/IETGC00WU;ManoDd_2106_00-01;;;;MDD;Target;Sediment;Sediment core;Sediment core;;140.83056;37.72167;133;Japan;Tohoku;Fukushima;Iitate mura;Mano;;Mano;non-marine sediment;non-marine sediment;Z3;Water;Water;;;;5.4;5.4;5.4;;TOFU;Core collection;420;1;0;1;2021_06_08;;Olivier Evrard;0000-0002-3503-6543;olivier.evrard@lsce.ipsl.fr;Laboratoire des Sciences du Climat, Gif-sur-Yvette, France;;;
10.58052/IETGC00WX;10.58052/IETGC00WU;ManoDd_2106_01-02;;;;MDD;Target;Sediment;Sediment core;Sediment core;;140.83056;37.72167;133;Japan;Tohoku;Fukushima;Iitate mura;Mano;;Mano;non-marine sediment;non-marine sediment;Z3;Water;Water;;;;8.33;8.33;8.33;;TOFU;Core collection;420;1;1;2;2021_06_08;;Olivier Evrard;0000-0002-3503-6543;olivier.evrard@lsce.ipsl.fr;Laboratoire des Sciences du Climat, Gif-sur-Yvette, France;;;
10.58052/IETGC00WY;10.58052/IETGC00WU;ManoDd_2106_02-03;;;;MDD;Target;Sediment;Sediment core;Sediment core;;140.83056;37.72167;133;Japan;Tohoku;Fukushima;Iitate mura;Mano;;Mano;non-marine sediment;non-marine sediment;Z3;Water;Water;;;;21.63;21.63;21.63;;TOFU;Core collection;420;1;2;3;2021_06_08;;Olivier Evrard;0000-0002-3503-6543;olivier.evrard@lsce.ipsl.fr;Laboratoire des Sciences du Climat, Gif-sur-Yvette, France;;;
10.58052/IETGC00WZ;10.58052/IETGC00WU;ManoDd_2106_03-04;;;;MDD;Target;Sediment;Sediment core;Sediment core;;140.83056;37.72167;133;Japan;Tohoku;Fukushima;Iitate mura;Mano;;Mano;non-marine sediment;non-marine sediment;Z3;Water;Water;;;;22.96;22.96;22.96;;TOFU;Core collection;420;1;3;4;2021_06_08;;Olivier Evrard;0000-0002-3503-6543;olivier.evrard@lsce.ipsl.fr;Laboratoire des Sciences du Climat, Gif-sur-Yvette, France;;;
10.58052/IETGC00X0;10.58052/IETGC00WU;ManoDd_2106_04-05;;;;MDD;Target;Sediment;Sediment core;Sediment core;;140.83056;37.72167;133;Japan;Tohoku;Fukushima;Iitate mura;Mano;;Mano;non-marine sediment;non-marine sediment;Z3;Water;Water;;;;24.29;24.29;24.29;;TOFU;Core collection;420;1;4;5;2021_06_08;;Olivier Evrard;0000-0002-3503-6543;olivier.evrard@lsce.ipsl.fr;Laboratoire des Sciences du Climat, Gif-sur-Yvette, France;;;
10.58052/IETGC00X1;10.58052/IETGC00WU;ManoDd_2106_05-06;;;;MDD;Target;Sediment;Sediment core;Sediment core;;140.83056;37.72167;133;Japan;Tohoku;Fukushima;Iitate mura;Mano;;Mano;non-marine sediment;non-marine sediment;Z3;Water;Water;;;;25.62;25.62;25.62;;TOFU;Core collection;420;1;5;6;2021_06_08;;Olivier Evrard;0000-0002-3503-6543;olivier.evrard@lsce.ipsl.fr;Laboratoire des Sciences du Climat, Gif-sur-Yvette, France;;;
10.58052/IETGC00X2;10.58052/IETGC00WU;ManoDd_2106_06-07;;;;MDD;Target;Sediment;Sediment core;Sediment core;;140.83056;37.72167;133;Japan;Tohoku;Fukushima;Iitate mura;Mano;;Mano;non-marine sediment;non-marine sediment;Z3;Water;Water;;;;14.98;14.98;14.98;;TOFU;Core collection;420;1;6;7;2021_06_08;;Olivier Evrard;0000-0002-3503-6543;olivier.evrard@lsce.ipsl.fr;Laboratoire des Sciences du Climat, Gif-sur-Yvette, France;;;
10.58052/IETGC00X3;10.58052/IETGC00WU;ManoDd_2106_07-08;;;;MDD;Target;Sediment;Sediment core;Sediment core;;140.83056;37.72167;133;Japan;Tohoku;Fukushima;Iitate mura;Mano;;Mano;non-marine sediment;non-marine sediment;Z3;Water;Water;;;;16.31;16.31;16.31;;TOFU;Core collection;420;1;7;8;2021_06_08;;Olivier Evrard;0000-0002-3503-6543;olivier.evrard@lsce.ipsl.fr;Laboratoire des Sciences du Climat, Gif-sur-Yvette, France;;;
10.58052/IETGC00X4;10.58052/IETGC00WU;ManoDd_2106_08-09;;;;MDD;Target;Sediment;Sediment core;Sediment core;;140.83056;37.72167;133;Japan;Tohoku;Fukushima;Iitate mura;Mano;;Mano;non-marine sediment;non-marine sediment;Z3;Water;Water;;;;29.61;29.61;29.61;;TOFU;Core collection;420;1;8;9;2021_06_08;;Olivier Evrard;0000-0002-3503-6543;olivier.evrard@lsce.ipsl.fr;Laboratoire des Sciences du Climat, Gif-sur-Yvette, France;;;
10.58052/IETGC00X5;10.58052/IETGC00WU;ManoDd_2106_09-10;;;;MDD;Target;Sediment;Sediment core;Sediment core;;140.83056;37.72167;133;Japan;Tohoku;Fukushima;Iitate mura;Mano;;Mano;non-marine sediment;non-marine sediment;Z3;Water;Water;;;;30.94;30.94;30.94;;TOFU;Core collection;420;1;9;10;2021_06_08;;Olivier Evrard;0000-0002-3503-6543;olivier.evrard@lsce.ipsl.fr;Laboratoire des Sciences du Climat, Gif-sur-Yvette, France;;;
10.58052/IETGC00X6;10.58052/IETGC00WU;ManoDd_2106_10-11;;;;MDD;Target;Sediment;Sediment core;Sediment core;;140.83056;37.72167;133;Japan;Tohoku;Fukushima;Iitate mura;Mano;;Mano;non-marine sediment;non-marine sediment;Z3;Water;Water;;;;20.3;20.3;20.3;;TOFU;Core collection;420;1;10;11;2021_06_08;;Olivier Evrard;0000-0002-3503-6543;olivier.evrard@lsce.ipsl.fr;Laboratoire des Sciences du Climat, Gif-sur-Yvette, France;;;
